ID,B1,B2,B3,B4,B5,I1,I2,I3,I4,I5,N1,N2,N3,N4,N5,G1,G2,G3,G4,G5,O1,O2,O3,O4,O5
001,Middle Child,Birthday on a Holiday,Went to College,Tattooed,Grew Up in a Small Town,Read the book Bear,Eats Fries With Vinegar,Paints,Hates Broccoli,Runner,Correctly Spells Fuschia on the First Try,Volunteers with a Non-Profit,"Is going to win this BINGO game. (Put your name here and consider this a free space. If it turns out you're wrong, no one will ever know!)",Mentor,Holds a Martial Art Rank,Follows Horoscopes in Secret,Plays Video Games for Hours,Favourite Snack That Most People Find Gross,Sings in the Shower,Dances When Nobody's Watching,Doodles in the Margins,Checks the Oven Three Times Before Leaving Home,Abstract Dreamer,Speaks to Houseplants,Tapes Over Laptop Camera
002,Citizen of Another Country,Military Brat,Tattooed,Middle Child,Moved to the City This Year,Watched The Bear on Disney Plus,Plays on a Team,Hates Broccoli,Loves Broccoli,Knits,Published a Book or Article,Volunteers with a Non-Profit,"Is going to win this BINGO game. (Put your name here and consider this a free space. If it turns out you're wrong, no one will ever know!)",Holds a Martial Art Rank,Overcame a Fear,Authored a Fanfic,Watches the Same Movie or Show Repeatedly,Follows Horoscopes in Secret,Can’t Keep a Plant Alive but Doesn’t Stop Trying!,Watches Reality TV,Carries a Small Toy,Organizes Spices Alphabetically,Doodles in the Margins,Dances Like Nobody’s Watching (But Everybody’s Watching),Sniffs New Books Loudly
003,License for Something Other than Driving,Middle Child,Went to College,Grew Up in a Small Town,Tattooed,Read the book Bear,Plays Dungeons and Dragons,Paints,Plays on a Team,Loves Broccoli,Volunteers with a Non-Profit,Published a Book or Article,Is worthy of love. (Put your own name here!),Acted in a Play or Musical,Correctly Spells Fuschia on the First Try,Authored a Fanfic,Favourite Snack That Most People Find Gross,Spies on the Neighbours,Dances When Nobody's Watching,Can’t Keep a Plant Alive but Doesn’t Stop Trying!,Sniffs New Books Loudly,Organizes Spices Alphabetically,Speaks to Houseplants,Dances Like Nobody’s Watching (But Everybody’s Watching),Tapes Over Laptop Camera
004,Colourblind,Moved to the City This Year,Citizen of Another Country,Grew Up in a Small Town,Military Brat,Watched The Bear on Disney Plus,Loves Broccoli,Hiker,Plays Dungeons and Dragons,Reads Horror,Speaks Another Language Fluently,Overcame a Fear,"Can kiss their elbow. (Okay, no one can do that. You can have this one free!)",Won an Award,Acted in a Play or Musical,Sleeps with a Stuffed Animal,Eats in Bed,Follows Horoscopes in Secret,Bubble Bather,Watches Reality TV,Abstract Dreamer,Checks the Oven Three Times Before Leaving Home,Dances Like Nobody’s Watching (But Everybody’s Watching),Organizes Spices Alphabetically,Sniffs New Books Loudly
005,Middle Child,Colourblind,Moved to the City This Year,License for Something Other than Driving,Birthday on a Holiday,Reads Horror,Loves Broccoli,Knits,Eats Fries With Vinegar,Plays on a Team,Holds a Martial Art Rank,Acted in a Play or Musical,"Can kiss their elbow. (Okay, no one can do that. You can have this one free!)",Won an Award,Published a Book or Article,Sleeps with a Stuffed Animal,Sings in the Shower,Watches Reality TV,Favourite Snack That Most People Find Gross,Authored a Fanfic,Sniffs New Books Loudly,Abstract Dreamer,Checks the Oven Three Times Before Leaving Home,Wears Sunglasses Indoors,Tapes Over Laptop Camera
006,Tattooed,Citizen of Another Country,Birthday on a Holiday,Middle Child,Colourblind,Runner,Hiker,Paints,Loves Broccoli,Knits,Showcased Art in an Exhibit,Speaks Another Language Fluently,Is worthy of love. (Put your own name here!),Holds a Martial Art Rank,Volunteers with a Non-Profit,Sleeps with a Stuffed Animal,Sings in the Shower,Watches Reality TV,Spies on the Neighbours,Watches the Same Movie or Show Repeatedly,Gets the ASMR Tinglies,Wears Mismatched Socks,Checks the Oven Three Times Before Leaving Home,Pees in the Shower,Dances Like Nobody’s Watching (But Everybody’s Watching)
007,Birthday on a Holiday,Tattooed,Allergies,Grew Up in a Small Town,Military Brat,Rides a Motorcycle,Loves Broccoli,Eats Fries With Vinegar,Runner,Reads Horror,Overcame a Fear,Acted in a Play or Musical,Is worthy of love. (Put your own name here!),Showcased Art in an Exhibit,Volunteers with a Non-Profit,Can’t Keep a Plant Alive but Doesn’t Stop Trying!,Authored a Fanfic,Favourite Snack That Most People Find Gross,Sleeps with a Stuffed Animal,Follows Horoscopes in Secret,Organizes Spices Alphabetically,Wears Sunglasses Indoors,Checks the Oven Three Times Before Leaving Home,Tapes Over Laptop Camera,Dances Like Nobody’s Watching (But Everybody’s Watching)
008,Grew Up in a Small Town,Citizen of Another Country,Middle Child,License for Something Other than Driving,Birthday on a Holiday,Plays on a Team,Eats Fries With Vinegar,Loves Broccoli,Runner,Knits,Showcased Art in an Exhibit,Speaks Another Language Fluently,Free Tile (Tile did nothing wrong!),Volunteers with a Non-Profit,Won an Award,Dances When Nobody's Watching,Bubble Bather,Authored a Fanfic,Sings in the Shower,Eats in Bed,Organizes Spices Alphabetically,Dances Like Nobody’s Watching (But Everybody’s Watching),Abstract Dreamer,Wears Mismatched Socks,Wears Sunglasses Indoors
009,Colourblind,Went to College,Military Brat,Allergies,Tattooed,Watched The Bear on Disney Plus,Plays Dungeons and Dragons,Read the book Bear,Hiker,Loves Broccoli,Volunteers with a Non-Profit,Speaks Another Language Fluently,"Is going to win this BINGO game. (Put your name here and consider this a free space. If it turns out you're wrong, no one will ever know!)",Holds a Martial Art Rank,Mentor,Favourite Snack That Most People Find Gross,Spies on the Neighbours,Can’t Keep a Plant Alive but Doesn’t Stop Trying!,Watches Reality TV,Sings in the Shower,Pees in the Shower,Gets the ASMR Tinglies,Organizes Spices Alphabetically,Tapes Over Laptop Camera,Abstract Dreamer
010,Middle Child,Tattooed,Grew Up in a Small Town,Colourblind,Birthday on a Holiday,Hiker,Runner,Plays Dungeons and Dragons,Hates Broccoli,Plays on a Team,Volunteers with a Non-Profit,Speaks Another Language Fluently,Free Tile (Tile did nothing wrong!),Won an Award,Acted in a Play or Musical,Can’t Keep a Plant Alive but Doesn’t Stop Trying!,Plays Video Games for Hours,Spies on the Neighbours,Authored a Fanfic,Dances When Nobody's Watching,Sniffs New Books Loudly,Tapes Over Laptop Camera,Pees in the Shower,Dances Like Nobody’s Watching (But Everybody’s Watching),Gets the ASMR Tinglies
011,License for Something Other than Driving,Grew Up in a Small Town,Tattooed,Birthday on a Holiday,Citizen of Another Country,Runner,Knits,Hates Broccoli,Read the book Bear,Paints,Speaks Another Language Fluently,Acted in a Play or Musical,Free Tile (Tile did nothing wrong!),Published a Book or Article,Volunteers with a Non-Profit,Sings in the Shower,Can’t Keep a Plant Alive but Doesn’t Stop Trying!,Bubble Bather,Plays Video Games for Hours,Favourite Snack That Most People Find Gross,Sniffs New Books Loudly,Pees in the Shower,Carries a Small Toy,Tapes Over Laptop Camera,Dances Like Nobody’s Watching (But Everybody’s Watching)
012,Colourblind,Moved to the City This Year,Allergies,Tattooed,Birthday on a Holiday,Eats Fries With Vinegar,Runner,Paints,Rides a Motorcycle,Plays Dungeons and Dragons,Correctly Spells Fuschia on the First Try,Mentor,Is worthy of love. (Put your own name here!),Acted in a Play or Musical,Won an Award,Authored a Fanfic,Eats in Bed,Dances When Nobody's Watching,Sings in the Shower,Watches the Same Movie or Show Repeatedly,Wears Sunglasses Indoors,Speaks to Houseplants,Wears Mismatched Socks,Checks the Oven Three Times Before Leaving Home,Doodles in the Margins
013,Birthday on a Holiday,Colourblind,Tattooed,Allergies,Citizen of Another Country,Paints,Watched The Bear on Disney Plus,Hates Broccoli,Knits,Reads Horror,Volunteers with a Non-Profit,Showcased Art in an Exhibit,"Can kiss their elbow. (Okay, no one can do that. You can have this one free!)",Holds a Martial Art Rank,Acted in a Play or Musical,Plays Video Games for Hours,Watches Reality TV,Can’t Keep a Plant Alive but Doesn’t Stop Trying!,Sleeps with a Stuffed Animal,Dances When Nobody's Watching,Checks the Oven Three Times Before Leaving Home,Pees in the Shower,Gets the ASMR Tinglies,Sniffs New Books Loudly,Wears Mismatched Socks
014,Allergies,Birthday on a Holiday,Went to College,Colourblind,License for Something Other than Driving,Eats Fries With Vinegar,Paints,Read the book Bear,Knits,Watched The Bear on Disney Plus,Holds a Martial Art Rank,Volunteers with a Non-Profit,"Can kiss their elbow. (Okay, no one can do that. You can have this one free!)",Overcame a Fear,Showcased Art in an Exhibit,Watches Reality TV,Follows Horoscopes in Secret,Plays Video Games for Hours,Sings in the Shower,Watches the Same Movie or Show Repeatedly,Abstract Dreamer,Tapes Over Laptop Camera,Organizes Spices Alphabetically,Wears Sunglasses Indoors,Speaks to Houseplants
015,Moved to the City This Year,Military Brat,License for Something Other than Driving,Middle Child,Went to College,Loves Broccoli,Plays on a Team,Reads Horror,Hates Broccoli,Rides a Motorcycle,Overcame a Fear,Holds a Martial Art Rank,Is worthy of love. (Put your own name here!),Speaks Another Language Fluently,Published a Book or Article,Can’t Keep a Plant Alive but Doesn’t Stop Trying!,Sings in the Shower,Authored a Fanfic,Eats in Bed,Follows Horoscopes in Secret,Doodles in the Margins,Wears Sunglasses Indoors,Organizes Spices Alphabetically,Gets the ASMR Tinglies,Dances Like Nobody’s Watching (But Everybody’s Watching)
016,License for Something Other than Driving,Birthday on a Holiday,Went to College,Grew Up in a Small Town,Colourblind,Eats Fries With Vinegar,Plays on a Team,Loves Broccoli,Read the book Bear,Runner,Published a Book or Article,Speaks Another Language Fluently,Is worthy of love. (Put your own name here!),Acted in a Play or Musical,Correctly Spells Fuschia on the First Try,Watches the Same Movie or Show Repeatedly,Sleeps with a Stuffed Animal,Favourite Snack That Most People Find Gross,Eats in Bed,Sings in the Shower,Speaks to Houseplants,Sniffs New Books Loudly,Gets the ASMR Tinglies,Carries a Small Toy,Tapes Over Laptop Camera
017,Allergies,License for Something Other than Driving,Moved to the City This Year,Middle Child,Military Brat,Runner,Hates Broccoli,Reads Horror,Knits,Watched The Bear on Disney Plus,Speaks Another Language Fluently,Mentor,"Is going to win this BINGO game. (Put your name here and consider this a free space. If it turns out you're wrong, no one will ever know!)",Published a Book or Article,Correctly Spells Fuschia on the First Try,Follows Horoscopes in Secret,Can’t Keep a Plant Alive but Doesn’t Stop Trying!,Spies on the Neighbours,Watches the Same Movie or Show Repeatedly,Sleeps with a Stuffed Animal,Gets the ASMR Tinglies,Pees in the Shower,Checks the Oven Three Times Before Leaving Home,Organizes Spices Alphabetically,Sniffs New Books Loudly
018,Grew Up in a Small Town,Birthday on a Holiday,Allergies,License for Something Other than Driving,Went to College,Reads Horror,Plays Dungeons and Dragons,Hiker,Hates Broccoli,Paints,Volunteers with a Non-Profit,Correctly Spells Fuschia on the First Try,Free Tile (Tile did nothing wrong!),Published a Book or Article,Speaks Another Language Fluently,Sings in the Shower,Bubble Bather,Follows Horoscopes in Secret,Plays Video Games for Hours,Favourite Snack That Most People Find Gross,Gets the ASMR Tinglies,Carries a Small Toy,Sniffs New Books Loudly,Dances Like Nobody’s Watching (But Everybody’s Watching),Wears Mismatched Socks
019,Military Brat,Allergies,Grew Up in a Small Town,Citizen of Another Country,Colourblind,Plays Dungeons and Dragons,Hiker,Rides a Motorcycle,Knits,Reads Horror,Volunteers with a Non-Profit,Overcame a Fear,Is worthy of love. (Put your own name here!),Speaks Another Language Fluently,Holds a Martial Art Rank,Favourite Snack That Most People Find Gross,Can’t Keep a Plant Alive but Doesn’t Stop Trying!,Watches the Same Movie or Show Repeatedly,Dances When Nobody's Watching,Sleeps with a Stuffed Animal,Abstract Dreamer,Sniffs New Books Loudly,Wears Sunglasses Indoors,Wears Mismatched Socks,Carries a Small Toy
020,License for Something Other than Driving,Moved to the City This Year,Citizen of Another Country,Tattooed,Birthday on a Holiday,Hiker,Eats Fries With Vinegar,Loves Broccoli,Read the book Bear,Plays Dungeons and Dragons,Published a Book or Article,Speaks Another Language Fluently,"Is going to win this BINGO game. (Put your name here and consider this a free space. If it turns out you're wrong, no one will ever know!)",Mentor,Showcased Art in an Exhibit,Watches Reality TV,Sleeps with a Stuffed Animal,Favourite Snack That Most People Find Gross,Plays Video Games for Hours,Follows Horoscopes in Secret,Speaks to Houseplants,Carries a Small Toy,Checks the Oven Three Times Before Leaving Home,Sniffs New Books Loudly,Wears Mismatched Socks
021,License for Something Other than Driving,Citizen of Another Country,Colourblind,Grew Up in a Small Town,Moved to the City This Year,Plays Dungeons and Dragons,Hiker,Hates Broccoli,Knits,Loves Broccoli,Speaks Another Language Fluently,Mentor,Is worthy of love. (Put your own name here!),Volunteers with a Non-Profit,Overcame a Fear,Eats in Bed,Sleeps with a Stuffed Animal,Plays Video Games for Hours,Bubble Bather,Follows Horoscopes in Secret,Wears Sunglasses Indoors,Speaks to Houseplants,Dances Like Nobody’s Watching (But Everybody’s Watching),Wears Mismatched Socks,Doodles in the Margins
022,Colourblind,Went to College,Tattooed,Military Brat,Birthday on a Holiday,Rides a Motorcycle,Hates Broccoli,Loves Broccoli,Paints,Runner,Won an Award,Mentor,Is worthy of love. (Put your own name here!),Volunteers with a Non-Profit,Holds a Martial Art Rank,Sleeps with a Stuffed Animal,Can’t Keep a Plant Alive but Doesn’t Stop Trying!,Eats in Bed,Plays Video Games for Hours,Spies on the Neighbours,Abstract Dreamer,Tapes Over Laptop Camera,Sniffs New Books Loudly,Checks the Oven Three Times Before Leaving Home,Speaks to Houseplants
023,Went to College,Middle Child,Moved to the City This Year,Grew Up in a Small Town,Birthday on a Holiday,Hiker,Watched The Bear on Disney Plus,Loves Broccoli,Runner,Knits,Acted in a Play or Musical,Correctly Spells Fuschia on the First Try,Free Tile (Tile did nothing wrong!),Won an Award,Mentor,Dances When Nobody's Watching,Plays Video Games for Hours,Watches the Same Movie or Show Repeatedly,Can’t Keep a Plant Alive but Doesn’t Stop Trying!,Follows Horoscopes in Secret,Speaks to Houseplants,Sniffs New Books Loudly,Doodles in the Margins,Abstract Dreamer,Wears Mismatched Socks
024,Allergies,Military Brat,Went to College,Colourblind,Moved to the City This Year,Rides a Motorcycle,Plays on a Team,Plays Dungeons and Dragons,Hates Broccoli,Paints,Overcame a Fear,Mentor,"Is going to win this BINGO game. (Put your name here and consider this a free space. If it turns out you're wrong, no one will ever know!)",Acted in a Play or Musical,Volunteers with a Non-Profit,Eats in Bed,Dances When Nobody's Watching,Favourite Snack That Most People Find Gross,Bubble Bather,Authored a Fanfic,Checks the Oven Three Times Before Leaving Home,Carries a Small Toy,Tapes Over Laptop Camera,Speaks to Houseplants,Doodles in the Margins
